OPS.1.1.1.A1;G 0.18
OPS.1.1.1.A2;G 0.18
OPS.1.1.1.A2;G 0.30
OPS.1.1.1.A2;G 0.32
OPS.1.1.1.A3;G 0.18
OPS.1.1.1.A4;G 0.18
OPS.1.1.1.A4;G 0.27
OPS.1.1.1.A4;G 0.33
OPS.1.1.1.A5;G 0.18
OPS.1.1.1.A5;G 0.23
OPS.1.1.1.A5;G 0.25
OPS.1.1.1.A5;G 0.31
OPS.1.1.1.A6;G 0.18
OPS.1.1.1.A7;G 0.18
OPS.1.1.1.A7;G 0.19
OPS.1.1.1.A7;G 0.27
OPS.1.1.1.A7;G 0.28
OPS.1.1.1.A8;G 0.18
OPS.1.1.1.A9;G 0.15
OPS.1.1.1.A9;G 0.18
OPS.1.1.1.A9;G 0.22
OPS.1.1.1.A9;G 0.25
OPS.1.1.1.A9;G 0.26
OPS.1.1.1.A10;G 0.18
OPS.1.1.1.A10;G 0.23
OPS.1.1.1.A10;G 0.28
OPS.1.1.1.A11;G 0.18
OPS.1.1.1.A11;G 0.25
OPS.1.1.1.A11;G 0.26
OPS.1.1.1.A12;G 0.18
OPS.1.1.1.A12;G 0.31
OPS.1.1.1.A13;G 0.14
OPS.1.1.1.A13;G 0.19
OPS.1.1.1.A13;G 0.22
OPS.1.1.1.A14;G 0.18
OPS.1.1.1.A15;G 0.15
OPS.1.1.1.A15;G 0.18
OPS.1.1.1.A15;G 0.22
OPS.1.1.1.A15;G 0.23
OPS.1.1.1.A16;G 0.31
OPS.1.1.1.A17;G 0.18
OPS.1.1.1.A17;G 0.25
OPS.1.1.1.A18;G 0.18
OPS.1.1.1.A18;G 0.31
OPS.1.1.1.A19;G 0.18
OPS.1.1.1.A19;G 0.25
OPS.1.1.1.A20;G 0.23
OPS.1.1.1.A20;G 0.28
OPS.1.1.1.A21;G 0.23
OPS.1.1.1.A21;G 0.25
OPS.1.1.1.A21;G 0.26
OPS.1.1.1.A22;G 0.23
OPS.1.1.1.A22;G 0.28
OPS.1.1.1.A23;G 0.18
OPS.1.1.1.A23;G 0.23
OPS.1.1.1.A24;G 0.18
OPS.1.1.1.A24;G 0.37
OPS.1.1.1.A25;G 0.25
OPS.1.1.1.A26;G 0.25
